Elevation_deg,PathLoss_dB,SINR_dB,Band
40.614525139664806,157.36954640106296,-15.509552112336522,S-Band (2 GHz)
41.089385474860336,157.29994130518213,-15.43994701645569,S-Band (2 GHz)
41.564245810055866,157.23129585392365,-15.371301565197214,S-Band (2 GHz)
42.039106145251395,157.16360002072383,-15.303605731997393,S-Band (2 GHz)
42.513966480446925,157.09684395213193,-15.236849663405494,S-Band (2 GHz)
42.988826815642454,157.03101796670902,-15.171023677982575,S-Band (2 GHz)
43.46368715083799,156.96611255379773,-15.106118265071288,S-Band (2 GHz)
43.93854748603352,156.9021183721766,-15.042124083450162,S-Band (2 GHz)
44.41340782122905,156.83902624860943,-14.979031959882988,S-Band (2 GHz)
44.88826815642458,156.77682717630148,-14.91683288757504,S-Band (2 GHz)
45.36312849162011,156.71551231327282,-14.855518024546384,S-Band (2 GHz)
45.83798882681564,156.65507298065836,-14.79507869193192,S-Band (2 GHz)
46.312849162011176,156.5955006609433,-14.735506372216847,S-Band (2 GHz)
46.787709497206706,156.5367869961429,-14.676792707416453,S-Band (2 GHz)
47.262569832402235,156.47892378593406,-14.618929497207617,S-Band (2 GHz)
47.737430167597765,156.4219029857461,-14.56190869701966,S-Band (2 GHz)
48.212290502793294,156.36571670481732,-14.505722416090876,S-Band (2 GHz)
48.687150837988824,156.31035720422383,-14.450362915497394,S-Band (2 GHz)
49.16201117318436,156.25581689488592,-14.395822606159484,S-Band (2 GHz)
49.63687150837989,156.20208833555782,-14.342094046831377,S-Band (2 GHz)
50.11173184357542,156.1491642308056,-14.28916994207917,S-Band (2 GHz)
50.58659217877095,156.09703742897725,-14.237043140250805,S-Band (2 GHz)
51.06145251396648,156.04570092016968,-14.185706631443239,S-Band (2 GHz)
51.53631284916201,155.99514783419616,-14.13515354546972,S-Band (2 GHz)
52.01117318435754,155.94537143855766,-14.085377149831217,S-Band (2 GHz)
52.486033519553075,155.8963651364211,-14.03637084769467,S-Band (2 GHz)
52.960893854748605,155.8481224646079,-13.98812817588147,S-Band (2 GHz)
53.435754189944134,155.80063709159484,-13.940642802868396,S-Band (2 GHz)
